#{"t_start": 1777134227.1996357, "env_id": "None"}
r,l,t
-21.0,188,3.384057
-21.0,197,3.463971
-21.0,198,3.482594
-21.0,210,3.595829
-21.0,212,3.618201
-21.0,244,3.898971
-21.0,251,3.965949
-21.0,257,4.022681
-21.0,190,5.25344
-21.0,213,5.272579
-21.0,190,5.561411
-21.0,226,5.60336
-20.0,244,5.647433
-21.0,195,5.691285
-20.0,261,5.805584
-19.0,249,6.226066
-21.0,189,6.965047
-21.0,191,6.981559
-21.0,198,7.443328
-20.0,212,7.468252
-21.0,208,7.511304
-21.0,219,7.574719
-20.0,202,7.604813
-21.0,206,8.068985
-21.0,204,8.780779
-21.0,200,9.233294
-20.0,208,9.295513
-21.0,214,9.463763
-19.0,302,9.66146
-20.0,237,9.704016
-21.0,204,9.876031
-19.0,270,9.919102
-21.0,213,10.671549
-21.0,185,10.886025
-21.0,183,10.93003
-21.0,209,11.320913
-21.0,182,11.482782
-20.0,210,11.569314
-21.0,215,11.586904
-21.0,229,11.947913
-21.0,212,12.55931
-19.0,231,12.944123
-20.0,242,13.081369
-21.0,191,13.196148
-20.0,217,13.273049
-20.0,224,13.572839
-21.0,230,13.644246
-21.0,215,13.875367
-21.0,190,14.267623
-21.0,190,14.800395
-21.0,182,14.800486
-21.0,204,14.825367
-20.0,219,14.825389
-21.0,182,15.090795
-20.0,228,15.34969
-20.0,288,15.96662
-21.0,202,16.164951
-19.0,277,16.204646
-20.0,235,16.414011
-20.0,245,16.535185
-21.0,252,16.60352
-21.0,190,16.748051
-19.0,263,17.050842
-21.0,187,17.784743
-21.0,227,17.888949
-20.0,233,18.248116
-21.0,186,18.24816
-19.0,232,18.490995
-21.0,233,18.609455
-20.0,215,18.6567
-21.0,209,18.905277
-21.0,195,26.888654
-21.0,198,26.986099
-21.0,201,27.277774
-20.0,233,27.490892
-20.0,217,27.56899
-21.0,206,27.585138
-21.0,201,27.772681
-20.0,269,28.035411
-21.0,217,28.346081
-21.0,221,28.466148
-20.0,236,28.846833
-20.0,213,28.91305
-21.0,209,28.975634
-21.0,219,29.0354
-21.0,221,29.246709
-21.0,223,29.522685
-21.0,199,29.678079
