#{"t_start": 1776786092.6817632, "env_id": "None"}
r,l,t
-88.85198,55,1.125539
-92.233765,62,1.138997
-117.97395,63,1.140769
-63.677086,73,1.154062
-139.55713,91,1.183061
-243.60634,99,1.194356
-116.463974,101,1.200231
-402.89456,130,1.246934
-232.01622,89,1.271055
-116.95707,90,1.282295
-56.80259,105,1.309108
-198.03593,102,1.320983
-254.52306,97,1.343665
-75.7132,98,1.357476
-117.048454,105,1.375664
-348.16162,80,1.382245
-236.47682,76,1.397698
-96.89168,68,1.397739
-97.1401,87,1.455099
-292.3391,88,1.470312
-420.7603,82,1.497186
-117.386894,91,1.497235
-99.608025,72,1.521387
-122.505905,102,1.55011
-278.69507,100,1.57072
-90.66722,119,1.587234
-93.437904,69,1.618492
-313.9721,72,1.623737
-198.00143,97,1.625339
-114.13374,63,1.629449
-129.30095,100,1.643701
-155.24219,84,1.70654
-211.99615,102,1.71795
-99.95258,85,1.726321
-325.95312,73,1.748901
-201.6545,83,1.76093
-358.72098,84,1.79219
-138.5727,98,1.797243
-147.62195,105,1.814006
-154.78854,83,1.886839
-176.25342,84,1.922302
-105.76977,117,1.936749
-156.23419,119,1.951416
-110.5441,83,1.953705
-115.60643,79,1.969082
-150.62198,92,1.978254
-216.94293,129,1.995452
-73.55838,101,2.089786
-83.04606,93,2.155497
-163.32515,108,2.175087
-86.642166,93,2.187197
-453.36987,122,2.191333
-145.27606,109,2.195604
-362.4837,103,2.227661
-271.25696,119,2.231388
-101.61997,70,2.249174
-145.92531,78,2.336989
-96.38868,99,2.348386
-100.40303,67,2.356099
-36.344673,91,2.3614
-207.89557,100,2.373356
11.228798,118,2.39688
-173.83067,104,2.418323
-146.22792,114,2.461206
-202.73128,97,2.51976
-113.080864,109,2.553873
-172.32039,91,2.56792
-234.8661,120,2.590169
-104.94243,90,2.593931
-226.2806,131,2.60254
-259.08875,130,2.620785
-225.75552,102,2.653921
-215.79297,96,2.700346
-106.341484,86,2.710661
-140.61401,78,2.731472
-211.42213,91,2.736011
-41.751957,82,2.766714
-151.8628,105,2.779811
-117.054375,79,2.795598
-117.106186,66,2.816097
-244.72723,136,2.846786
-242.0432,74,2.869578
-70.58422,69,2.908969
-409.54987,118,2.926942
-72.18547,77,2.93737
-111.57769,110,2.968345
-232.57652,104,3.010573
-99.02016,84,3.027813
-158.19408,121,3.080095
-0.72525024,188,3.082601
-355.0335,94,3.118643
