#{"t_start": 1776786956.2816849, "env_id": "None"}
r,l,t
-108.19632,69,1.277397
-81.49408,70,1.279352
-400.22015,88,1.30664
-78.79802,97,1.322391
-299.92044,103,1.332029
-183.84576,114,1.350868
-115.94472,126,1.372363
-79.32391,59,1.378147
-189.84311,140,1.397094
-48.805046,62,1.414101
-145.46277,57,1.430624
-230.25687,100,1.445553
-130.93042,87,1.471783
-110.046425,71,1.473783
-180.17622,79,1.511661
-50.16283,64,1.537975
-161.56915,117,1.570078
-115.28473,115,1.591223
-165.99922,114,1.605024
-208.0372,60,1.612057
-183.91208,102,1.61764
-366.93036,86,1.617674
-96.360916,90,1.622454
-127.53527,71,1.649491
-203.37393,70,1.676175
-110.1958,63,1.703563
-183.25201,66,1.713325
-175.61798,79,1.72372
-155.20116,102,1.747015
-240.32954,69,1.759662
-531.3737,102,1.773932
-417.7543,113,1.795181
-110.81068,61,1.803469
-111.82872,65,1.820441
-165.7883,74,1.844191
-351.58325,77,1.87404
-98.319435,129,1.887058
-134.31454,79,1.88878
-85.72499,73,1.893399
-235.52655,63,1.948059
-135.33469,97,1.964402
-61.90217,99,1.985557
-134.48737,126,2.005884
-178.04245,79,2.027181
-110.74547,99,2.053846
-236.09248,113,2.065699
-57.65302,111,2.078248
-213.48764,59,2.088488
-76.42619,84,2.095262
-142.55789,105,2.146342
-342.70667,86,2.174948
-83.38045,76,2.187347
-301.02136,107,2.192477
-97.65798,84,2.222574
-268.37326,100,2.237936
-217.45816,97,2.255845
-118.473145,80,2.284947
-407.90582,112,2.288957
-67.73001,67,2.301892
-194.3011,83,2.318063
-94.472824,77,2.322295
-260.10995,85,2.356554
-141.81511,75,2.369127
-102.96042,85,2.369155
-90.984665,69,2.389392
-179.4855,98,2.434201
-211.93813,111,2.474632
-93.106346,102,2.47692
-157.99913,76,2.498354
-93.20429,111,2.498403
-262.10858,97,2.51844
-125.70178,97,2.552459
-509.51736,117,2.564312
-140.62767,84,2.575644
-249.54567,81,2.606912
-121.765656,72,2.613369
-100.15638,120,2.667551
-225.1672,71,2.674385
-231.75987,79,2.676228
-166.13794,118,2.684421
-369.26764,91,2.713657
-284.06274,130,2.718077
-114.67647,94,2.75064
-89.34344,65,2.767977
-99.881516,111,2.770056
-93.10267,67,2.770081
-207.58116,77,2.794014
-321.17877,90,2.798841
-99.63109,67,5.728575
-169.95236,115,5.749432
-39.29042,131,5.772153
-84.35101,75,5.776959
-149.5007,99,5.784295
-389.02716,89,5.792835
-171.16312,116,5.80813
-104.75532,68,5.858403
-159.76138,167,5.873044
-107.749535,65,5.881007
-171.92386,112,5.910415
-89.137405,87,5.956605
-262.19418,109,5.965965
-127.1006,122,5.975065
-126.52329,81,5.996813
-166.67427,137,6.025021
-81.39334,70,6.035506
-216.39398,110,6.062268
-229.44464,114,6.077771
-112.74484,61,6.102861
-223.01093,81,6.105007
-216.59813,101,6.130066
-283.4477,109,6.159227
-116.99099,75,6.186904
-140.49101,93,6.190809
-266.9818,114,6.215812
-80.76841,73,6.224136
-101.20108,112,6.261883
-301.47107,96,6.261922
-103.13435,99,6.289989
-111.70009,103,6.326207
-333.0934,100,6.348166
-92.68336,86,6.363132
-343.1817,117,6.383182
-109.60923,79,6.392556
-109.045456,63,6.395735
-177.37613,114,6.40217
-265.58694,122,6.461408
-105.51697,82,6.485761
-119.99065,101,6.495207
-126.82525,87,6.507423
-114.92952,78,6.518169
-222.67993,104,6.568205
-130.61272,119,6.57372
-301.0161,124,6.595724
-190.30925,83,6.595765
-61.388897,61,6.602744
-89.04863,99,6.640392
-147.36043,83,6.649151
-163.6561,101,6.652316
-126.58486,76,6.693307
-216.96596,70,6.705735
-102.849884,96,6.721816
-113.00463,92,6.740493
-52.15783,95,6.753664
-293.7923,87,6.781974
-72.5797,82,6.782017
-111.476685,83,6.787139
-117.58369,76,6.843834
-304.71692,88,6.847225
-69.55092,107,6.864189
-94.57281,59,6.872896
-273.10217,80,6.879749
-113.87487,89,6.881397
-162.85867,70,6.890408
-161.40659,108,6.955823
-113.66185,61,6.971513
-93.56792,82,6.977045
-64.06659,109,7.020037
-92.4534,98,7.0258
-297.19672,96,7.038591
-318.2686,100,7.056134
-143.8544,122,7.083914
-232.71881,88,7.128394
-105.345535,101,7.130601
-280.6424,110,7.158775
-143.76831,65,7.167413
-105.83776,90,7.192603
-48.59023,99,7.194391
-75.04163,68,7.200896
-220.04218,126,7.231743
-101.97644,69,7.241957
-272.36243,117,7.321242
-187.23279,82,7.326623
-96.54186,101,7.333744
-286.60986,92,7.342885
-96.97278,87,7.342913
-97.60306,65,7.348713
-210.7649,117,7.352226
-133.8031,78,10.312182
0.9140396,135,10.315897
-117.972595,89,10.335136
-112.47991,83,10.340059
-204.6738,91,10.359018
-103.39009,101,10.36977
-96.38853,112,10.379899
-296.86633,121,10.409573
-48.26684,80,10.440201
-119.978,91,10.453674
-133.91843,97,10.484789
-170.10063,96,10.488375
-110.09347,84,10.4884
-136.84088,77,10.495973
-101.1306,89,10.54421
-138.12009,117,10.548074
-149.40486,72,10.563132
-85.85299,97,10.585792
-103.720024,72,10.594737
-90.3029,75,10.599005
-122.70967,93,10.63029
-99.47472,66,10.63789
-66.61264,117,10.655254
-100.52086,68,10.682563
-80.93729,61,10.685704
-100.94801,93,10.69554
-58.296154,112,10.707871
-95.51802,65,10.726722
-84.34569,77,10.750323
-87.46138,68,10.75508
-14.121353,128,10.779394
-83.239456,68,10.78519
-95.61709,72,10.800436
-112.611496,68,10.807176
-125.71457,99,10.827552
-178.91602,101,10.878465
-99.67695,64,10.885544
-148.03824,94,10.901282
-126.35826,101,10.907527
-105.195496,102,10.939377
-133.84062,91,10.951155
-137.4538,109,10.970274
-69.60023,96,10.977505
-106.34017,78,10.994791
-63.280506,73,11.011593
-116.19337,87,11.026426
-195.06566,101,11.034067
-111.217415,75,11.075061
-94.646454,62,11.082557
-108.246544,96,11.085643
-150.20125,113,11.09906
-111.01653,86,11.0991
-30.606758,85,11.152255
-55.436523,60,11.170613
-94.87811,104,11.174721
-109.79995,79,11.191455
